instance_class,IBS_bi_min_walpha,IBS_bi_min_gap
100_20,0.29,0.42585955326406816,1.784544204333623
100_40,0.35,1.3247050965654692,4.986885997316853
100_60,0.34,2.548109023412807,5.7203177986161045
200_20,0.22,0.9748818316456017,0.5528544196239633
200_40,0.3,-0.2559106893031874,4.7471345658603665
200_60,0.28,1.1862961549456794,7.058176736926842
300_20,0.17,1.1546190040892077,0.008722896582243345
300_40,0.24,-0.6906230811855372,5.11200080427132
300_60,0.29,0.4058580204110333,7.3398921943710675
400_20,0.12,0.8330715884214763,-0.17479293207671456
400_40,0.22,-1.0435422393254101,5.155159784886203
400_60,0.23,-0.4527077769704991,7.4236780076096025
500_20,0.09,0.8753049850485567,-0.14449043661193614
500_40,0.2,-0.6885205034582791,4.907138734210007
500_60,0.21,-1.044831810260841,7.634990429036563
600_20,0.09,0.8669233450310043,-0.11804971890353815
600_40,0.17,-0.5704700916499316,4.724289774044349
600_60,0.21,-1.1488008187088616,7.381682607337341
700_20,0.07,0.9538533113219829,-0.11838601501822058
700_40,0.15,-0.4366808016689756,4.107563894146087
700_60,0.19,-1.378892989907432,7.455934452973233
800_20,0.07,0.7785576105098697,-0.10853249822739477
800_40,0.14,-0.45818479455370487,3.8989236698797805
800_60,0.15,-1.4205076295856045,7.674652739455523
